,author_id,id,created_at,lang,text
0,1127829883013361665,1540329045715468289,2022-06-24T13:40:37.000Z,en,"RT @rohanpaul_ai: KNN - K Nearest Neighbours

#Python #pythonlearning #DataAnalytics #databases #MachineLearning #DataScience #Deeplearning…"
1,804073305980489737,1540329023527591939,2022-06-24T13:40:31.000Z,en,"RT @rohanpaul_ai: KNN - K Nearest Neighbours

#Python #pythonlearning #DataAnalytics #databases #MachineLearning #DataScience #Deeplearning…"
2,1327015921538510850,1540329001184632840,2022-06-24T13:40:26.000Z,en,"RT @PinakiLaskar: Procrastination
#AI #IoT #IIoT #CX #MachineLearning #SelfDrivingCars #fashiontech #SmartCity #AutonomousVehicles #DataSci…"
3,1260015280048222208,1540328986471006208,2022-06-24T13:40:22.000Z,en,"RT @PinakiLaskar: Procrastination
#AI #IoT #IIoT #CX #MachineLearning #SelfDrivingCars #fashiontech #SmartCity #AutonomousVehicles #DataSci…"
4,942496609434292226,1540328980665991168,2022-06-24T13:40:21.000Z,en,"RT @PDH_Metaverse: Credit @Paula_Piccard

How Artificial Intelligence is revolutionising healthcare

Watch: https://t.co/7obwJKs1Er

#Machi…"
5,983177740965773312,1540328979533643778,2022-06-24T13:40:21.000Z,en,"RT @JobPreference: #Hiring?
Sign up now https://t.co/o7lVlsl75X
FREE. NO MIDDLEMEN.
#Robotics #AIEthics #MachineLearning #AI #Python #DataS…"
6,1403861754808049666,1540328978053038081,2022-06-24T13:40:20.000Z,en,"RT @Khulood_Almani: ⚡️What are the7⃣Patterns of #AI❓

v/@Forbes
#ArtificialIntelligence #DataScience #Bigdata #Business #Analytics #Python…"
7,1127829883013361665,1540328961774952449,2022-06-24T13:40:17.000Z,en,"RT @JobPreference: #Hiring?
Sign up now https://t.co/o7lVlsl75X
FREE. NO MIDDLEMEN.
#Robotics #AIEthics #MachineLearning #AI #Python #DataS…"
8,1437728609909706753,1540328957010386949,2022-06-24T13:40:15.000Z,en,"RT @glitchbotio: ""Stop acting so small. You are the universe in ecstatic motion.""- Rumi #softwareengineer #javascript #python #C++ #golang…"
9,942496609434292226,1540328944930639872,2022-06-24T13:40:13.000Z,en,"RT @IainLJBrown: Artificial Intelligence - Analytics Insight

Read more here: https://t.co/ScqfLROkrZ

#ArtificialIntelligence #AI #DataSci…"
10,1520721810576314369,1540328938941153282,2022-06-24T13:40:11.000Z,en,"RT @Free_AI_Books: Free Book is  Available.
https://t.co/z0BRI70iIN
#BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Pytho…"
11,1243665419501744133,1540328929176813569,2022-06-24T13:40:09.000Z,en,"""Stop acting so small. You are the universe in ecstatic motion.""- Rumi #softwareengineer #javascript #python #C++ #golang #nodejs #reactjs #stockopertor #highgrowthstocks $SPX $QQQ $RUT $VIX #canslim #100DaysOfCode"
12,1332714745871421443,1540328891356676098,2022-06-24T13:40:00.000Z,en,"#Hiring?
Sign up now https://t.co/o7lVlsl75X
FREE. NO MIDDLEMEN.
#Robotics #AIEthics #MachineLearning #AI #Python #DataScience #BigData #100DaysOfCode #Robots #fintech #insurtech #cybersecurity #blockchain #Bitcoin #coding #Cryptos #NFTGame #Job #Metaverse #ETH #Python #HR #DeFi https://t.co/eImwt3W8e8"
13,1451269425773039627,1540328863229743105,2022-06-24T13:39:53.000Z,en,"RT @CurieuxExplorer: Frontend Development Roadmap

🎨 codecrookshanks
#Python #Nodejs #MachineLearning #100daysofmlcode #HTML5 #RStats #Serv…"
14,1280935835789975553,1540328844581896195,2022-06-24T13:39:49.000Z,en,"RT @CommercialeSeme: Why Self-Driving Cars Shouldn't Be Allowed?

#artificialintelligence #künstlicheIntelligenz #cars 
 #100DaysOfCode #Cy…"
15,3368849687,1540328830585503745,2022-06-24T13:39:45.000Z,en,"RT @Khulood_Almani: As #5G Rolls Out➡️We Need To Be Vigilant About #Security

via @Forbes 

https://t.co/RSvxTvAmkS

#cybersecurity #future…"
16,961352067091660800,1540328819256590337,2022-06-24T13:39:43.000Z,en,"RT @PinakiLaskar: Procrastination
#AI #IoT #IIoT #CX #MachineLearning #SelfDrivingCars #fashiontech #SmartCity #AutonomousVehicles #DataSci…"
17,1102453728018423808,1540328784078852099,2022-06-24T13:39:34.000Z,en,"RT @_qu4nt: #Infographic: In just 10 Days, can you learn #MachineLearning?
Via @ingliguori

#ArtificialIntelligence #AI #ML #DataScience #D…"
18,1276058041389953024,1540328771806367744,2022-06-24T13:39:31.000Z,en,"RT @KirkDBorne: Simple Yet Practical #DataCleaning #Python Code Snippets to fix common scenarios of messy data: https://t.co/d982YmvjUb
———…"
19,1417264099516370944,1540328711102369793,2022-06-24T13:39:17.000Z,es,"RT @dansar39: Increíbles #recursos para #aprender #DSA .
 #Python #Nodejs #MachineLearning #100daysofmlcode #HTML5 #RStats #Serverless #AI…"
20,190097582,1540328685802504192,2022-06-24T13:39:11.000Z,en,"RT @BeingOvee: #Infographic: Top in demand #TechSkills
Via @ingliguori 
#ArtificialIntelligence #AI #ML #MachineLearning #DataScientists #C…"
21,1260015280048222208,1540328684485320706,2022-06-24T13:39:10.000Z,en,"RT @KirkDBorne: How to run #Python in R using the reticulate R package: https://t.co/UbwKQR6SuJ by @Rbloggers 
————
#Coding #Rstats #DataSc…"
22,1348558873636921349,1540328645486673921,2022-06-24T13:39:01.000Z,en,"RT @GreenLeafg7942: Best SMM services provider in USA 
https://t.co/luafOFgyqT
#MachineLearning #python #IoT #100DaysOfCode #programming #C…"
23,3197518417,1540328641535541249,2022-06-24T13:39:00.000Z,en,RT @gp_pulipaka: Neural Network Projects with Python. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #Ten…
24,1403861754808049666,1540328639409147906,2022-06-24T13:39:00.000Z,en,"RT @Khulood_Almani: As #5G Rolls Out➡️We Need To Be Vigilant About #Security

via @Forbes 

https://t.co/RSvxTvAmkS

#cybersecurity #future…"
25,1511932634393640964,1540328622338506753,2022-06-24T13:38:56.000Z,en,"Best SMM services provider in USA 
https://t.co/luafOFgyqT
#MachineLearning #python #IoT #100DaysOfCode #programming #CodeNewbie #reactjs #bugbounty #DataScience #gamedev #BigData #Analytics #NeuralNetworks #Cloud #OpenSource #AI #DEVCommunity https://t.co/rbZPLvQkzG"
26,1403861754808049666,1540328620203327489,2022-06-24T13:38:55.000Z,en,"RT @Khulood_Almani: 👌💺Bring your own #seat wherever you go😉

#TechForGood #innovation #Marketing #coding #100DaysOfCode #Nodejs #Bot #DataS…"
27,1280935835789975553,1540328591417810944,2022-06-24T13:38:48.000Z,en,"RT @IainLJBrown: Augmenting Economics with Artificial Intelligence - Colby College

Read more here: https://t.co/qRg5gZILp7

#ArtificialInt…"
28,1437728609909706753,1540328562804535297,2022-06-24T13:38:41.000Z,en,"RT @PinakiLaskar: Procrastination
#AI #IoT #IIoT #CX #MachineLearning #SelfDrivingCars #fashiontech #SmartCity #AutonomousVehicles #DataSci…"
29,411419084,1540328562242093061,2022-06-24T13:38:41.000Z,en,"RT @PinakiLaskar: Procrastination
#AI #IoT #IIoT #CX #MachineLearning #SelfDrivingCars #fashiontech #SmartCity #AutonomousVehicles #DataSci…"
30,1307355301549543435,1540328559679520768,2022-06-24T13:38:41.000Z,en,"RT @Khulood_Almani: 👌💺Bring your own #seat wherever you go😉

#TechForGood #innovation #Marketing #coding #100DaysOfCode #Nodejs #Bot #DataS…"
31,971620109197312000,1540328556772958213,2022-06-24T13:38:40.000Z,en,"RT @PinakiLaskar: Procrastination
#AI #IoT #IIoT #CX #MachineLearning #SelfDrivingCars #fashiontech #SmartCity #AutonomousVehicles #DataSci…"
32,1127829883013361665,1540328541769895938,2022-06-24T13:38:36.000Z,en,"RT @PinakiLaskar: Procrastination
#AI #IoT #IIoT #CX #MachineLearning #SelfDrivingCars #fashiontech #SmartCity #AutonomousVehicles #DataSci…"
33,1053697748321501184,1540328534102757376,2022-06-24T13:38:35.000Z,en,"Procrastination
#AI #IoT #IIoT #CX #MachineLearning #SelfDrivingCars #fashiontech #SmartCity #AutonomousVehicles #DataScience #BigData #Analytics #JavaScript #Serverless #Linux #RStats #Programming #Coding #NLP #Web3 #5G #Blockchain #Metaverse #100DaysofCode #Python #TensorFlow https://t.co/zR5JBJiMqJ"
34,1260015280048222208,1540328533460934656,2022-06-24T13:38:34.000Z,en,"RT @Benjami98790316: I'm legit to offer you A grade in your
✓nursing
✓essays
@Tutors_Val
chemistry
✓finance.
✓physics
✓biology.
✓physi
✓che…"
35,1276058041389953024,1540328520336941056,2022-06-24T13:38:31.000Z,en,"RT @KirkDBorne: How to run #Python in R using the reticulate R package: https://t.co/UbwKQR6SuJ by @Rbloggers 
————
#Coding #Rstats #DataSc…"
36,1518571052867399680,1540328498849812481,2022-06-24T13:38:26.000Z,en,RT @CrownedHead06: How to handle exception in ©pp ...#Python #CPP #Cpp22 #100DaysOfCode #Java #AI #Machine #Code_Synechise #MachineLearning…
37,190097582,1540328494089248771,2022-06-24T13:38:25.000Z,en,"RT @JobPreference: NEED a #JOB?
Sign up now https://t.co/o7lVlsCHXv
FREE. NO MIDDLEMAN
#ArtificialIntelligence #MachineLearning #Python #Da…"
38,1518571052867399680,1540328483167285248,2022-06-24T13:38:22.000Z,en,RT @CrownedHead06: Python libraries for various applications ... #Python #100DaysOfCode #Java #AI #Machine #Code_Synechise #MachineLearning…
39,812555214024740865,1540328476259094528,2022-06-24T13:38:21.000Z,en,"RT @CodingPseudo: Apache Beam | A Hands-On course to build Big data Pipelines

https://t.co/vqu48UNx2H

#BigData #Apache #BEAMS #api #devel…"
40,1127829883013361665,1540328374064881664,2022-06-24T13:37:56.000Z,en,"RT @Benjami98790316: I'm legit to offer you A grade in your
✓nursing
✓essays
@Tutors_Val
chemistry
✓finance.
✓physics
✓biology.
✓physi
✓che…"
41,1280935835789975553,1540328338203578369,2022-06-24T13:37:48.000Z,en,"RT @JobPreference: #Hiring?
Sign up now https://t.co/o7lVlsl75X
FREE. NO MIDDLEMAN
#ArtificialIntelligence #MachineLearning #Python #DataSc…"
42,1280935835789975553,1540328334546051072,2022-06-24T13:37:47.000Z,en,"RT @JamesSm51300698: Flash Sale..!! Verified PayPal Accounts For Sale!!!
https://t.co/jVGGu60gqQ
🇺🇸🇺🇸🇺🇸
#MachineLearning  #DataScience #5G…"
43,1486710693680205835,1540328319136288772,2022-06-24T13:37:43.000Z,en,"RT @gokularumugam05: Day 24 of learning 🐍 

Python loops: for loop with three new Dictionary methods: .keys(), .values() and .items()

#Pyt…"
44,1142012028627951616,1540328309254406144,2022-06-24T13:37:41.000Z,en,"I'm legit to offer you A grade in your
✓nursing
✓essays
@Tutors_Val
chemistry
✓finance.
✓physics
✓biology.
✓physi
✓chemistry
✓algebra.
✓homework..
✓essay pay.
Assignment due 
#100DaysOfCode
#WomenWhoCode..
#javascript
#Python....
Email qualityhomeworkhelp@gmail.com"
45,1260015280048222208,1540328231504601091,2022-06-24T13:37:22.000Z,en,"RT @Retsu_Kordah: Day 010.
Went over all what I learnt. Just to refresh my mind. 
#100DaysOfCode .#pythonprogramming #Python"
46,1348558873636921349,1540328185514135554,2022-06-24T13:37:11.000Z,en,"RT @GreenLeafg7942: Best App Development Services in USA
https://t.co/mrreNA7ukd
#MachineLearning #python #IoT #100DaysOfCode #programming…"
47,1511932634393640964,1540328161124429824,2022-06-24T13:37:06.000Z,en,"Best App Development Services in USA
https://t.co/mrreNA7ukd
#MachineLearning #python #IoT #100DaysOfCode #programming #CodeNewbie #reactjs #bugbounty #DataScience #gamedev #BigData #Analytics #NeuralNetworks #Cloud #OpenSource #AI #DEVCommunity https://t.co/ZYx9oaFGwG"
48,1371551211351121920,1540328124801482753,2022-06-24T13:36:57.000Z,en,"RT @gokularumugam05: Day 24 of learning 🐍 

Python loops: for loop with three new Dictionary methods: .keys(), .values() and .items()

#Pyt…"
49,1127829883013361665,1540328122104664064,2022-06-24T13:36:56.000Z,en,"RT @StrahinjaZivko7: 💥Introduction to Neural Networks🧠

🧷Cc:@gp_pulipaka #TensorFlow #DeepLearning #ComputerVision #Tech #MachineLearning…"
50,1354047563280707586,1540328102760329218,2022-06-24T13:36:52.000Z,en,"RT @StrahinjaZivko7: 💥Introduction to Neural Networks🧠

🧷Cc:@gp_pulipaka #TensorFlow #DeepLearning #ComputerVision #Tech #MachineLearning…"
51,1011817655957893120,1540328101061595136,2022-06-24T13:36:51.000Z,en,"RT @themis277: Learn Data Science from DataCamp
Pay 59$ on an annual subscription 
Enroll from here: https://t.co/MOd54jQZ6B
Machine Learni…"
52,1280935835789975553,1540328080748716033,2022-06-24T13:36:47.000Z,en,"RT @StrahinjaZivko7: 💥Introduction to Neural Networks🧠

🧷Cc:@gp_pulipaka #TensorFlow #DeepLearning #ComputerVision #Tech #MachineLearning…"
53,1260015280048222208,1540328080476176395,2022-06-24T13:36:46.000Z,en,"RT @BojanaVukov: 🧠A team at @CarnegieMellon developed the first flexible, full-size, #3Dprint of a human heart 🫀

🧷by:@seeker #ComputerVisi…"
54,1419853116711784480,1540328064726573058,2022-06-24T13:36:43.000Z,en,"RT @Retsu_Kordah: Day 010.
Went over all what I learnt. Just to refresh my mind. 
#100DaysOfCode .#pythonprogramming #Python"
55,1127829883013361665,1540328037945950211,2022-06-24T13:36:36.000Z,en,"RT @jethalal_1: Day 27 of #100DaysOfCode 

Building Snake Game 🐍 
50 % done 🚧
 Final version coming 🔜 
#Python https://t.co/2A6KKQg0OM"
56,1419853116711784480,1540328026612944896,2022-06-24T13:36:34.000Z,en,"RT @jethalal_1: Day 27 of #100DaysOfCode 

Building Snake Game 🐍 
50 % done 🚧
 Final version coming 🔜 
#Python https://t.co/2A6KKQg0OM"
57,1319294485088464896,1540328002122403840,2022-06-24T13:36:28.000Z,en,"RT @CodingPseudo: Apache Beam | A Hands-On course to build Big data Pipelines

https://t.co/vqu48UNx2H

#BigData #Apache #BEAMS #api #devel…"
58,1314164146934513665,1540328000335527936,2022-06-24T13:36:27.000Z,en,"RT @themis277: 🔥🔥Free #DataScience Course for complete beginners 🔥🔥
https://t.co/nv5yQQ7I6k
#research #DataScience #MachineLearning #data #…"
59,4050791903,1540327980274257921,2022-06-24T13:36:23.000Z,en,"RT @rohanpaul_ai: 280+ #MachineLearning Projects Solved &amp; Explained #Python
https://t.co/MLBQu2OH64

#IoT #100DaysOfCode #programming #Code…"
60,1467981234437513220,1540327961634766849,2022-06-24T13:36:18.000Z,en,"RT @aicanedo: #Linux networking tools
#Python #Nodejs #MachineLearning #100daysofmlcode #HTML5 #RStats #Serverless #AI #Flutter #Java #Deve…"
61,1419853116711784480,1540327952604430341,2022-06-24T13:36:16.000Z,en,"RT @motobeans: Don't Deploy your code on #Friday 🖥️🤣

#100DaysOfCode #flutter #twitme #nodejs #DataScience #java #womenintech #javascript #…"
62,1268500317500391426,1540327949844582400,2022-06-24T13:36:15.000Z,en,"RT @Khulood_Almani: As #5G Rolls Out➡️We Need To Be Vigilant About #Security

via @Forbes 

https://t.co/RSvxTvAmkS

#cybersecurity #future…"
63,1260015280048222208,1540327929481203712,2022-06-24T13:36:10.000Z,en,"RT @AcademicsAplus: For quality assignment help
DM us
Essays
Exams
Homework
Biology
Chemistry
English
#FALLSEMESTER 
Ecology
Anatomy
#Machi…"
64,190097582,1540327919645773824,2022-06-24T13:36:08.000Z,en,"RT @BojanaVukov: 🧠A team at @CarnegieMellon developed the first flexible, full-size, #3Dprint of a human heart 🫀

🧷by:@seeker #ComputerVisi…"
65,4050791903,1540327854457720833,2022-06-24T13:35:53.000Z,en,"RT @rohanpaul_ai: Imputation Using #NumPy and #Pandas

#Python #pythonlearning #DataAnalytics #Python3 #databases #MachineLearning #DataSci…"
